"long","lat","age"
121.48891,25.13959,5
121.48905,25.13957,5
121.48891,25.13949,5
121.48905,25.13947,5
121.48919,25.13947,5
121.48934,25.13944,5
121.4892,25.13969,5
121.48936,25.13967,5
121.48923,25.13986,5
121.48938,25.13984,5
121.57284,25.04395,5
121.54287,24.99141,5
121.54267,24.99137,5
121.54266,24.99133,5
121.54265,24.99129,5
121.54268,24.99141,5
121.54269,24.99146,5
121.57441,25.03277,5
121.5452,25.10848,5
121.5223,25.07819,5
121.53302,25.06399,5
121.53302,25.06412,5
121.53279,25.06413,5
121.53278,25.064,5
121.53302,25.06446,5
121.53301,25.06455,5
121.53301,25.06465,5
121.53288,25.06446,5
121.55159,25.08206,5
121.50397,25.12897,5
121.50393,25.12905,5
121.50386,25.12893,5
121.50383,25.12901,5
121.50421,25.12906,5
121.50416,25.12915,5
121.50409,25.12901,5
121.50404,25.12909,5
121.55792,24.98823,5
121.55788,24.98828,5
121.55786,24.98831,5
121.55789,24.98833,5
121.55792,24.98835,5
121.55796,24.98837,5
121.558,24.98832,5
121.55802,24.98828,5
121.55809,24.9882,5
121.55813,24.98816,5
121.55816,24.98812,5
121.55813,24.9881,5
121.5581,24.98809,5
121.55806,24.98806,5
121.55803,24.9881,5
121.55801,24.98814,5
121.54031,25.11022,5
121.61721,25.0424,5
121.59085,25.06986,5
121.59129,25.06979,5
121.59139,25.06974,5
121.59152,25.06969,5
121.59162,25.06961,5
121.5909,25.06977,5
121.59097,25.06971,5
121.59107,25.06985,5
121.59119,25.06982,5
121.59083,25.06963,5
121.5908,25.0697,5
121.59077,25.06978,5
121.59074,25.06987,5
121.51906,25.10999,5
121.51902,25.11003,5
121.51899,25.11007,5
121.51895,25.11012,5
121.51892,25.11016,5
121.51888,25.11021,5
121.59647,25.06132,5
121.56786,25.11364,5
121.56766,25.11358,5
121.53081,25.07091,5
121.53191,25.0712,5
121.52344,25.06298,5
121.52362,25.06323,5
121.52382,25.06323,5
121.58533,25.03707,5
121.50966,25.12823,5
121.50976,25.12814,5
121.50974,25.12828,5
121.50986,25.12801,5
121.50995,25.1279,5
121.51,25.12798,5
121.58815,25.07816,5
121.52732,25.03331,5
121.52731,25.03327,5
121.55657,25.00071,5
121.5566,25.00071,5
121.55663,25.00071,5
121.55666,25.00071,5
121.55668,25.00071,5
121.55671,25.00072,5
121.55669,25.00078,5
121.55667,25.00078,5
121.55663,25.00078,5
121.5566,25.00078,5
121.55657,25.00078,5
121.50874,25.06089,5
121.50925,25.0609,5
121.50954,25.05944,5
121.58603,25.06457,5
121.58571,25.06428,5
121.58574,25.06438,5
121.58578,25.0645,5
121.58582,25.0646,5
121.54546,25.01182,5
121.55006,25.03264,5
121.5401,24.99864,5
121.54012,24.99858,5
121.54015,24.99853,5
121.51767,25.02336,5
121.5175,25.02327,5
121.5175,25.02325,5
121.5175,25.02323,5
121.5175,25.0233,5
121.51751,25.02315,5
121.51751,25.0231,5
121.51756,25.02307,5
121.51751,25.02318,5
121.52093,25.14977,5
121.50897,25.08965,5
121.50907,25.08971,5
121.57455,25.06424,5
121.57451,25.06434,5
121.5746,25.06438,5
121.50177,25.03913,5
121.50176,25.03906,5
121.52184,25.12365,5
121.52182,25.1236,5
121.53195,25.10884,5
121.58551,25.06305,5
121.58569,25.06298,5
121.58534,25.06327,5
121.58545,25.06323,5
121.58555,25.0632,5
121.51198,25.05169,5
121.51197,25.05173,5
121.51197,25.05177,5
121.51196,25.05185,5
121.51176,25.05243,5
121.51199,25.05191,5
121.51211,25.0519,5
121.54795,24.9901,5
121.54785,24.99012,5
121.58371,25.0603,5
121.58382,25.06036,5
121.58393,25.06043,5
121.58382,25.06058,5
121.58372,25.0605,5
121.58363,25.06044,5
121.53717,25.04448,5
121.53722,25.044,5
121.53725,25.044,5
121.53457,25.09872,5
121.59404,25.08535,5
121.59394,25.08535,5
121.59394,25.08522,5
121.59404,25.08522,5
121.52825,25.09275,5
121.52844,25.09275,5
121.52827,25.09289,5
121.52845,25.09288,5
121.52861,25.09287,5
121.52829,25.09307,5
121.52858,25.09305,5
121.5283,25.09323,5
121.5286,25.09321,5
121.52833,25.09342,5
121.52861,25.09339,5
121.52837,25.09357,5
121.52863,25.09357,5
121.52837,25.09369,5
121.52536,25.1226,5
121.52541,25.12271,5
121.57836,25.06881,5
121.57827,25.06857,5
121.57809,25.06863,5
121.57785,25.0687,5
121.57769,25.06876,5
121.57778,25.06898,5
121.57862,25.06847,5
121.57845,25.06853,5
121.57882,25.06885,5
121.57876,25.06871,5
121.57738,25.06885,5
121.57744,25.06906,5
121.5775,25.06921,5
121.52842,25.08331,5
121.53537,25.0389,5
121.56675,24.98342,5
121.54395,25.05954,5
121.54064,25.02976,5
121.54064,25.02973,5
121.54387,25.02647,5
121.54397,25.02647,5
121.51314,25.0523,5
121.52486,25.04954,5
121.56733,25.03376,5
121.5221,25.09398,5
121.54735,24.99499,5
121.54726,24.99494,5
121.54742,24.99494,5
121.54738,24.99491,5
121.54732,24.99487,5
121.54762,24.99528,5
121.59463,25.06675,5
121.6151,25.06061,5
121.61497,25.06069,5
121.5225,25.03022,5
121.54088,24.99132,5
121.54085,24.99133,5
121.54083,24.99134,5
121.54079,24.99135,5
121.54076,24.99136,5
121.54071,24.99138,5
121.54086,24.99128,5
121.54069,24.99132,5
121.54081,24.99121,5
121.5407,24.99123,5
121.54077,24.99113,5
121.54067,24.99115,5
121.5409,24.99055,5
121.54094,24.99055,5
121.54098,24.99054,5
121.54105,24.99059,5
121.54104,24.99054,5
121.54103,24.99051,5
121.60606,25.05251,5
121.60721,25.05267,5
121.51764,25.05194,5
121.54838,24.98844,5
121.54834,24.98857,5
121.54407,25.10252,5
121.57914,25.04921,5
121.61617,25.07163,5
121.61611,25.07162,5
121.61613,25.0715,5
121.61619,25.07151,5
121.57324,25.05069,5
121.57326,25.0504,5
121.57328,25.0504,5
121.57331,25.05041,5
121.57334,25.05041,5
121.56726,25.04029,5
121.56669,25.04065,5
121.51301,25.03861,5
121.579,24.98462,5
121.57891,24.98461,5
121.61036,25.05224,5
121.61049,25.05227,5
121.61059,25.05228,5
121.61067,25.0523,5
121.61078,25.05231,5
121.59371,25.06772,5
121.59379,25.06772,5
121.58063,25.04918,5
121.57065,25.04438,5
121.59223,25.05406,5
121.52326,25.02901,5
121.57407,25.12587,5
121.52834,25.121,5
121.58439,25.04714,5
121.58442,25.04718,5
121.58445,25.04721,5
121.58449,25.04725,5
121.58452,25.04728,5
121.58412,25.04685,5
121.58416,25.04689,5
121.58421,25.04693,5
121.58424,25.04697,5
121.58427,25.04701,5
121.5843,25.04704,5
121.58433,25.04708,5
121.58436,25.04711,5
121.52894,25.07109,5
121.58278,24.9859,5
121.58284,24.98591,5
121.5743,25.08601,5
121.56428,25.06327,5
121.54824,25.10569,5
121.55336,24.99821,5
121.55331,24.99826,5
121.55324,24.99817,5
121.55328,24.99821,5
121.51861,25.03068,5
121.51867,25.0306,5
121.51859,25.0306,5
121.54471,25.02461,5
121.51079,25.02952,5
121.57551,25.1141,5
121.51312,25.11022,5
121.51322,25.11024,5
121.55071,25.0319,5
121.5337,25.01698,5
121.53058,25.05574,5
121.60167,25.06725,5
121.55838,25.08031,5
121.55754,25.08039,5
121.55754,25.08015,5
121.55763,25.08015,5
121.55771,25.08015,5
121.55781,25.08015,5
121.55789,25.08014,5
121.55797,25.08014,5
121.55807,25.08015,5
121.55819,25.08014,5
121.55831,25.08014,5
121.61128,25.05239,5
121.61147,25.0524,5
121.57473,25.07288,5
121.52097,25.08805,5
121.5175,25.1151,5
121.51751,25.11519,5
121.5174,25.1152,5
121.5174,25.11512,5
121.52902,25.09886,5
121.52886,25.09883,5
121.50474,25.12852,5
121.5047,25.12857,5
121.50465,25.12864,5
121.50484,25.12865,5
